timestamp,event
2025-12-08T16:18:32.901111,EYE_CLOSED
2025-12-08T16:18:33.119955,EYE_CLOSED
2025-12-08T16:18:33.196827,EYE_OPEN
2025-12-08T16:18:33.271610,EYE_CLOSED
2025-12-08T16:18:33.350899,EYE_CLOSED
2025-12-08T16:18:33.425264,EYE_CLOSED
2025-12-08T16:18:33.496367,EYE_OPEN
2025-12-08T16:18:33.577025,EYE_CLOSED
2025-12-08T16:18:33.656413,EYE_OPEN
2025-12-08T16:18:33.728230,EYE_CLOSED
2025-12-08T16:18:33.804332,EYE_CLOSED
2025-12-08T16:18:33.881618,EYE_CLOSED
2025-12-08T16:18:33.962840,EYE_CLOSED
2025-12-08T16:18:34.034698,EYE_CLOSED
2025-12-08T16:18:34.113339,EYE_OPEN
2025-12-08T16:18:34.192431,EYE_CLOSED
2025-12-08T16:18:34.268411,EYE_CLOSED
2025-12-08T16:18:34.342213,EYE_OPEN
2025-12-08T16:18:34.421876,EYE_CLOSED
2025-12-08T16:18:34.503586,EYE_CLOSED
2025-12-08T16:18:34.582056,EYE_CLOSED
2025-12-08T16:18:34.653779,EYE_CLOSED
2025-12-08T16:18:34.728738,EYE_CLOSED
2025-12-08T16:18:34.811158,EYE_CLOSED
2025-12-08T16:18:34.883042,EYE_CLOSED
2025-12-08T16:18:34.958524,EYE_CLOSED
2025-12-08T16:18:35.035736,EYE_CLOSED
2025-12-08T16:18:35.110051,EYE_CLOSED
2025-12-08T16:18:35.186646,EYE_CLOSED
2025-12-08T16:18:35.268562,EYE_CLOSED
2025-12-08T16:18:35.343821,EYE_CLOSED
2025-12-08T16:18:35.417743,EYE_CLOSED
2025-12-08T16:18:35.499047,EYE_CLOSED
2025-12-08T16:18:35.577459,EYE_CLOSED
2025-12-08T16:18:35.662268,EYE_OPEN
2025-12-08T16:18:35.738154,EYE_CLOSED
2025-12-08T16:18:35.817453,EYE_CLOSED
2025-12-08T16:18:35.892810,EYE_CLOSED
2025-12-08T16:18:35.973313,EYE_CLOSED
2025-12-08T16:18:36.045211,EYE_CLOSED
2025-12-08T16:18:36.121658,EYE_OPEN
2025-12-08T16:18:36.202263,EYE_CLOSED
2025-12-08T16:18:36.276229,EYE_CLOSED
2025-12-08T16:18:36.353322,EYE_CLOSED
2025-12-08T16:18:36.431939,EYE_OPEN
2025-12-08T16:18:36.505135,EYE_OPEN
2025-12-08T16:18:36.581032,EYE_OPEN
2025-12-08T16:18:36.678596,EYE_OPEN
2025-12-08T16:18:36.788910,EYE_OPEN
2025-12-08T16:18:36.875687,EYE_OPEN
2025-12-08T16:18:36.950296,EYE_OPEN
2025-12-08T16:18:36.952924,YAWN_WARNING
2025-12-08T16:18:37.026543,EYE_OPEN
2025-12-08T16:18:37.105887,EYE_OPEN
2025-12-08T16:18:37.108665,YAWN_WARNING
2025-12-08T16:18:37.178375,EYE_OPEN
2025-12-08T16:18:37.181121,YAWN_WARNING
2025-12-08T16:18:37.260653,EYE_OPEN
2025-12-08T16:18:37.262408,YAWN_WARNING
2025-12-08T16:18:37.336965,EYE_OPEN
2025-12-08T16:18:37.339522,YAWN_WARNING
2025-12-08T16:18:37.415940,EYE_OPEN
2025-12-08T16:18:37.417967,YAWN_WARNING
2025-12-08T16:18:37.492307,EYE_OPEN
2025-12-08T16:18:37.495028,YAWN_WARNING
2025-12-08T16:18:37.569992,EYE_OPEN
2025-12-08T16:18:37.573004,YAWN_WARNING
2025-12-08T16:18:37.647020,EYE_OPEN
2025-12-08T16:18:37.649816,YAWN_WARNING
2025-12-08T16:18:37.721428,EYE_OPEN
2025-12-08T16:18:37.723935,YAWN_WARNING
2025-12-08T16:18:37.799563,EYE_OPEN
2025-12-08T16:18:37.802078,YAWN_WARNING
2025-12-08T16:18:37.874024,EYE_OPEN
2025-12-08T16:18:37.876766,YAWN_WARNING
2025-12-08T16:18:37.953029,EYE_OPEN
2025-12-08T16:18:37.955649,YAWN_WARNING
2025-12-08T16:18:38.030952,EYE_OPEN
2025-12-08T16:18:38.034363,YAWN_WARNING
2025-12-08T16:18:38.110102,EYE_OPEN
2025-12-08T16:18:38.113445,YAWN_WARNING
2025-12-08T16:18:38.184578,EYE_OPEN
2025-12-08T16:18:38.187302,YAWN_WARNING
2025-12-08T16:18:38.418961,EYE_OPEN
2025-12-08T16:18:38.421388,YAWN_WARNING
2025-12-08T16:18:38.494202,EYE_CLOSED
2025-12-08T16:18:38.496777,YAWN_WARNING
2025-12-08T16:18:38.571229,EYE_OPEN
2025-12-08T16:18:38.573833,YAWN_WARNING
2025-12-08T16:18:38.660426,EYE_CLOSED
2025-12-08T16:18:38.663016,YAWN_WARNING
2025-12-08T16:18:38.741854,EYE_CLOSED
2025-12-08T16:18:38.744597,YAWN_WARNING
2025-12-08T16:18:38.831237,EYE_CLOSED
2025-12-08T16:18:38.833967,YAWN_WARNING
2025-12-08T16:18:38.922445,EYE_CLOSED
2025-12-08T16:18:39.000475,EYE_OPEN
2025-12-08T16:18:39.074586,EYE_OPEN
2025-12-08T16:18:39.151034,EYE_OPEN
2025-12-08T16:18:39.223056,EYE_CLOSED
2025-12-08T16:18:39.305555,EYE_OPEN
2025-12-08T16:18:39.378861,EYE_OPEN
2025-12-08T16:18:39.454282,EYE_OPEN
2025-12-08T16:18:39.528926,EYE_OPEN
2025-12-08T16:18:39.613357,EYE_OPEN
2025-12-08T16:18:39.687795,EYE_OPEN
2025-12-08T16:18:39.762997,EYE_OPEN
2025-12-08T16:18:39.843917,EYE_OPEN
2025-12-08T16:18:39.915748,EYE_OPEN
2025-12-08T16:18:39.995096,EYE_OPEN
2025-12-08T16:18:40.068737,EYE_OPEN
2025-12-08T16:18:40.148056,EYE_OPEN
2025-12-08T16:18:40.223922,EYE_OPEN
